"Name","Source","AC","HP","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","CR"
"Draconian Foot Soldier","FTD","14 (natural armor)","22 (4d8 + 4)","13","11","13","8","8","10","1/2 (100 XP)"
"Draconian Infiltrator","FTD","15 (natural armor)","39 (6d8 + 12)","11","17","14","9","13","11","3 (700 XP)"
"Draconian Mage","FTD","15 (natural armor)","40 (9d8)","14","10","11","11","10","14","2 (450 XP)"
"Draconian Mastermind","FTD","17 (natural armor)","67 (9d8 + 27)","13","14","16","15","11","17","6 (2,300 XP)"
"Draconic Shard","FTD","17 (deflection)","168 (16d12 + 64)","1","12","18","22","18","22","17 (18,000 XP)"
"Dracophage Subject","DSotDQ","15 (natural armor)","39 (6d8 + 12)","11","17","14","12","13","11","3 (700 XP)"
"Draegloth","MPMM","15 (natural armor)","123 (13d10 + 52)","20","15","18","13","11","11","7 (2,900 XP)"
"Draft Horse","MM","10","19 (3d10 + 3)","18","10","12","2","11","7","1/4 (50 XP)"
"Dragon Army Dragonnel","DSotDQ","16 (breastplate barding)","58 (9d10 + 9)","16","15","12","8","13","10","3 (700 XP)"
"Dragon Army Officer","DSotDQ","19 (splint, shield)","65 (10d8 + 20)","16","14","15","12","14","12","3 (700 XP)"
"Dragon Army Soldier","DSotDQ","17 (scale mail, shield)","22 (4d8 + 4)","15","12","12","10","10","10","1 (200 XP)"
"Dragon Blessed","FTD","14 (scale mail)","75 (10d8 + 30)","12","10","16","14","17","10","5 (1,800 XP)"
"Dragon Chosen","FTD","17 (natural armor)","45 (7d8 + 14)","18","18","14","10","13","14","3 (700 XP)"
"Dragon Hunter","JttRC","13 (studded leather)","58 (9d8 + 18)","16","13","14","10","11","10","3 (700 XP)"
"Dragon Speaker","FTD","13 (leather armor)","36 (8d6 + 8)","10","14","12","13","11","17","2 (450 XP)"
"Dragon Tortoise","CM","20 (natural armor)","341 (22d20 + 110)","25","10","20","10","12","12","17 (18,000 XP)"
"Dragon Turtle","MM","20 (natural armor)","341 (22d20 + 110)","25","10","20","10","12","12","17 (18,000 XP)"
"Dragon Turtle Wyrmling","FTD","18 (natural armor)","90 (12d10 + 24)","17","10","15","8","10","10","4 (1,100 XP)"
"Dragonblood Ooze","FTD","14 (natural armor)","68 (8d10 + 24)","18","6","17","2","12","10","5 (1,800 XP)"
"Dragonbone Golem","FTD","17 (natural armor)","161 (19d10 + 57)","20","10","17","3","11","10","11 (7,200 XP)"
"Dragonborn of Bahamut","FTD","18 (half plate, shield)","93 (11d8 + 44)","19","13","18","12","14","17","8 (3,900 XP)"
"Dragonborn of Sardior","FTD","17 (mental defense)","75 (10d8 + 30)","14","16","17","18","14","12","6 (2,300 XP)"
"Dragonborn of Tiamat","FTD","18 (plate)","85 (10d8 + 40)","20","11","18","10","12","16","7 (2,900 XP)"
"Dragonclaw","HotDQ","14 (leather armor)","16 (3d8 + 3)","9","16","13","11","10","12","1 (200 XP)"
"Dragonfang","RoT","15 (studded leather)","78 (12d8 + 24)","11","16","14","12","12","14","5 (1,800 XP)"
"Dragonflesh Abomination","FTD","15 (natural armor)","66 (7d12 + 21)","18","14","17","5","12","6","6 (2,300 XP)"
"Dragonflesh Grafter","FTD","14 (natural armor)","52 (7d10 + 14)","16","11","14","10","10","6","3 (700 XP)"
"Dragonnel","FTD","13 (natural armor)","58 (9d10 + 9)","16","15","12","8","13","10","2 (450 XP)"
"Dragonsoul","RoT","16 (studded leather)","110 (17d8 + 34)","11","18","14","13","12","16","7 (2,900 XP)"
"Dragonwing","HotDQ","14 (leather armor)","33 (6d8 + 6)","11","16","13","11","11","13","2 (450 XP)"
"Dread Warrior","TftYP","18 (chain mail, shield)","37 (5d8 + 15)","15","11","16","10","12","10","1 (200 XP)"
"Dretch","MM","11 (natural armor)","18 (4d6 + 4)","11","11","12","5","8","3","1/4 (50 XP)"
"Drider","MM","19 (natural armor)","123 (13d10 + 52)","16","16","18","13","14","12","6 (2,300 XP)"
"Drow","MM","15 (chain shirt)","13 (3d8)","10","14","10","11","11","12","1/4 (50 XP)"
"Drow Acolyte","OotA","10","9 (2d8)","10","10","10","10","14","11","1/4 (50 XP)"
"Drow Arachnomancer","MPMM","15 (studded leather)","162 (25d8 + 50)","11","17","14","19","14","16","13 (10,000 XP)"
"Drow Bandit","OotA","12 (leather armor)","11 (2d8 + 2)","11","12","12","10","10","10","1/8 (25 XP)"
"Drow Commander","TftYP","18 (studded leather, shield)","110 (11d8 + 22)","13","18","14","11","13","12","5 (1,800 XP)"
"Drow Commoner","OotA","10","4 (1d8)","10","10","10","10","10","10","0 (10 XP)"
"Drow Cultist","OotA","12 (leather armor)","9 (2d8)","11","12","10","10","11","10","1/8 (25 XP)"
"Drow Elite Warrior","MM","18 (studded leather, shield)","71 (11d8 + 22)","13","18","14","11","13","12","5 (1,800 XP)"
"Drow Favored Consort","MPMM","15","240 (32d8 + 96)","15","20","16","18","15","18","18 (20,000 XP)"
"Drow Guard","OotA","16 (chain shirt, shield)","11 (2d8 + 2)","13","12","12","10","11","10","1/8 (25 XP)"
"Drow Gunslinger","WDH","18 (studded leather, shield)","84 (13d8 + 26)","13","18","14","11","13","14","4 (1,100 XP)"
"Drow House Captain","MPMM","16 (chain mail)","162 (25d8 + 50)","14","19","15","12","14","13","9 (5,000 XP)"
"Drow Inquisitor","MPMM","16 (breastplate)","149 (23d8 + 46)","11","15","14","16","21","20","14 (11,500 XP)"
"Drow Mage","MM","12 (15 with mage armor)","45 (10d8)","9","14","10","17","13","12","7 (2,900 XP)"
"Drow Matron Mother","MPMM","17 (half plate)","247 (33d8 + 99)","12","18","16","17","21","22","20 (25,000 XP)"
"Drow Noble","OotA","15 (breastplate)","9 (2d8)","11","12","11","12","14","16","1/8 (25 XP)"
"Drow Priestess of Lolth","MM","16 (scale mail)","71 (13d8 + 13)","10","14","12","13","17","18","8 (3,900 XP)"
"Drow Scout","OotA","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Drow Shadowblade","MPMM","17 (studded leather)","150 (20d8 + 60)","14","21","16","12","14","13","11 (7,200 XP)"
"Drow Spore Servant","OotA","15 (chain shirt)","13 (3d8)","10","14","10","2","6","1","1/8 (25 XP)"
"Drow Spy","OotA","12","27 (6d8)","10","15","10","12","14","16","1 (200 XP)"
"Drowned Ascetic","GoS","13","75 (10d8 + 30)","12","16","16","3","9","5","3 (700 XP)"
"Drowned Assassin","GoS","14 (leather armor)","67 (9d8 + 27)","15","16","16","9","9","16","4 (1,100 XP)"
"Drowned Blade","GoS","10 (leather armor)","45 (6d8 + 18)","16","8","16","3","9","5","2 (450 XP)"
"Drowned Master","GoS","14 (natural armor)","157 (21d8 + 63)","17","12","16","9","14","12","9 (5,000 XP)"
"Druid","MM","11 (16 with barkskin)","27 (5d8 + 5)","10","12","13","12","15","11","2 (450 XP)"
"Druid of the Old Ways","GGR","14 (hide armor)","90 (12d8 + 36)","11","15","16","10","20","14","7 (2,900 XP)"
"Dryad","MM","11 (16 with barkskin)","22 (5d8)","10","12","11","14","15","18","1 (200 XP)"
"Dryad Spirit","BGDIA","12","58 (13d8)","1","14","10","12","11","17","4 (1,100 XP)"
"Duergar","MM","16 (scale mail, shield)","26 (4d8 + 4)","14","11","14","11","10","9","1 (200 XP)"
"Duergar Alchemist","OotA","16 (scale mail, shield)","26 (4d8 + 4)","14","11","14","11","10","9","1 (200 XP)"
"Duergar Darkhaft","OotA","16 (scale mail, shield)","26 (4d8 + 4)","14","11","14","11","10","9","2 (450 XP)"
"Duergar Despot","MPMM","21 (natural armor)","119 (14d8 + 56)","20","5","19","15","14","13","12 (8,400 XP)"
"Duergar Hammerer","MPMM","17 (natural armor)","33 (6d8 + 6)","17","7","12","5","5","5","2 (450 XP)"
"Duergar Kavalrachni","MPMM","16 (scale mail, shield)","26 (4d8 + 8)","14","11","14","11","10","9","2 (450 XP)"
"Duergar Keeper of the Flame","OotA","16 (scale mail, shield)","26 (4d8 + 4)","14","11","14","11","10","9","2 (450 XP)"
"Duergar Mind Master","MPMM","14 (leather armor)","39 (6d8 + 12)","11","17","14","15","10","12","2 (450 XP)"
"Duergar Screamer","MPMM","15 (natural armor)","38 (7d8 + 7)","18","7","12","5","5","5","3 (700 XP)"
"Duergar Soulblade","MPMM","14 (leather armor)","27 (6d8)","16","16","10","11","10","12","1 (200 XP)"
"Duergar Spore Servant","OotA","16 (scale mail, shield)","26 (4d8 + 8)","14","11","14","2","6","1","1/2 (100 XP)"
"Duergar Spy","TftYP","15 (studded leather)","33 (6d8 + 6)","10","16","12","12","10","13","2 (450 XP)"
"Duergar Stone Guard","MPMM","18 (chain mail, shield)","39 (6d8 + 12)","18","11","14","11","10","9","2 (450 XP)"
"Duergar Warlord","MPMM","20 (plate armor, shield)","75 (10d8 + 30)","18","11","17","12","12","14","6 (2,300 XP)"
"Duergar Xarrorn","MPMM","18 (plate armor)","26 (4d8 + 8)","16","11","14","11","10","9","2 (450 XP)"
"Dullahan","VRGR","16 (breastplate)","135 (18d8 + 54)","18","14","16","11","15","16","10 (5,900 XP, or 11,800 XP as a mythic encounter)"
"Duodrone","MM","15 (natural armor)","11 (2d8 + 2)","11","13","12","6","10","7","1/4 (50 XP)"
"Dusk Hag","ERLW","17 (natural armor)","82 (15d8 + 15)","11","14","12","17","16","18","6 (2,300 XP)"
"Dust Hulk","BGG","16 (natural armor)","68 (8d10 + 24)","15","19","16","10","12","8","5 (1,800 XP)"
"Dust Mephit","MM","12","17 (5d6)","5","14","10","9","11","10","1/2 (100 XP)"
"Dybbuk","MPMM","14","37 (5d8 + 15)","6","19","16","16","15","14","4 (1,100 XP)"
"Dyrrn","ERLW","21 (natural armor)","325 (31d8 + 186)","26","21","22","26","23","24","24 (62,000 XP)"
"Eagle","MM","12","3 (1d6)","6","15","10","2","14","7","0 (10 XP)"
"Earth Elemental","MM","17 (natural armor)","126 (12d10 + 60)","20","8","20","5","10","5","5 (1,800 XP)"
"Earth Elemental Myrmidon","MPMM","18 (plate)","127 (17d8 + 51)","18","10","17","8","10","10","7 (2,900 XP)"
"Eater of Hope","MOT","17 (natural armor)","90 (12d10 + 24)","19","17","14","12","11","16","6 (2,300 XP)"
"Eblis","ToA","13","26 (4d10 + 4)","11","16","12","12","14","11","1 (200 XP)"
"Echo of Demogorgon","BGG","14 (natural armor)","85 (10d10 + 30)","22","10","17","10","12","14","6 (2,300 XP)"
"Efreeti","MM","17 (natural armor)","200 (16d10 + 112)","22","12","24","16","15","16","11 (7,200 XP)"
"Egg Hunter Adult","FTD","16 (natural armor)","52 (8d6 + 24)","14","20","16","3","13","5","5 (1,800 XP)"
"Egg Hunter Hatchling","FTD","14 (natural armor)","28 (8d4 + 8)","8","17","13","1","10","5","2 (450 XP)"
"Eidolon","MPMM","9","63 (18d8 - 18)","7","8","9","14","19","16","12 (8,400 XP)"
"Elder Black Pudding","TftYP","7","130 (10d12 + 30)","16","5","16","1","6","1","4 (1,100 XP)"
"Elder Brain","MPMM","10","210 (20d10 + 100)","15","10","20","21","19","24","14 (11,500 XP)"
"Elder Brain Dragon","FTD","17 (natural armor)","350 (20d20 + 140)","27","13","25","21","19","24","22 (41,000 XP)"
"Elder Giant Lizard","TftYP","14 (natural armor)","85 (9d12 + 27)","21","9","17","2","10","7","5 (1,800 XP)"
"Elder Oblex","MPMM","16","115 (10d12 + 50)","15","16","21","22","13","18","10 (5,900 XP)"
"Elder Tempest","MPMM","19","264 (16d20 + 96)","23","28","23","2","21","18","23 (50,000 XP)"
"Eldritch Horror Hatchling","KftGV","14 (natural armor), 11 while prone","39 (6d10 + 6)","17","11","13","1","13","6","2 (450 XP)"
"Elephant","MM","12 (natural armor)","76 (8d12 + 24)","22","9","17","3","11","6","4 (1,100 XP)"
"Elise","VRGR","9","93 (11d8 + 44)","19","9","18","6","10","5","5 (1,800 XP)"
"Elk","MM","10","13 (2d10 + 2)","16","10","12","2","10","6","1/4 (50 XP)"
"Emberhorn Minotaur","PotA","14 (natural armor)","76 (9d10 + 27)","18","11","16","6","16","9","3 (700 XP)"
"Emerald Dragon Wyrmling","FTD","16 (natural armor)","39 (6d8 + 12)","15","12","15","14","12","14","2 (450 XP)"
"Emerald Enclave Scout","OotA","16 (breastplate)","19 (3d8 + 6)","11","14","14","11","13","11","1/2 (100 XP)"
"Emerald Greatwyrm","FTD","21 (natural armor)","507 (26d20 + 234)","28","14","29","30","24","25","26 (90,000 XP)"
"Empyrean","MM","22 (natural armor)","313 (19d12 + 190)","30","21","30","21","22","27","23 (50,000 XP)"
"Enchanter Wizard","MPMM","12 (15 with mage armor)","49 (11d8)","9","14","11","17","12","11","5 (1,800 XP)"
"Engineer","WDH","10","7 (2d6)","10","10","10","14","10","11","1/4 (50 XP)"
"Enormous Tentacle","OoW","12","60 (8d12 + 8)","19","14","12","1","10","3","2 (450 XP)"
"Erinyes","MM","18 (plate armor)","153 (18d8 + 72)","18","16","18","14","14","18","12 (8,400 XP)"
"Esthetic","BAM","14 (natural armor)","217 (14d20 + 70)","24","8","20","1","10","1","12 (8,400 XP)"
"Eternal Flame Guardian","PotA","17 (breastplate, shield), 15 while using a crossbow","45 (7d8 + 14)","15","13","14","8","11","13","2 (450 XP)"
"Eternal Flame Priest","PotA","12 (15 with mage armor)","52 (8d8 + 16)","12","15","14","10","11","16","3 (700 XP)"
"Ettercap","MM","13 (natural armor)","44 (8d8 + 8)","14","15","13","7","12","8","2 (450 XP)"
"Ettin","MM","12 (natural armor)","85 (10d10 + 30)","21","8","17","6","10","8","4 (1,100 XP)"
"Ettin Ceremorph","BGG","15 (natural armor)","104 (11d10 + 44)","18","14","18","18","15","14","8 (3,900 XP)"
"Evil Mage","HftT","12","22 (5d8)","9","14","11","17","12","11","1 (200 XP)"
"Evil Mage","LMoP","12","22 (5d8)","9","14","11","17","12","11","1 (200 XP)"
"Evoker Wizard","MPMM","12 (15 with mage armor)","121 (22d8 + 22)","9","14","12","17","12","11","9 (5,000 XP)"
"Expeditious Messenger","ERLW","13","7 (2d4 + 2)","6","16","13","8","12","7","1/8 (25 XP)"
"Eye Monger","BAM","17 (natural armor)","149 (13d10 + 78)","21","6","23","7","13","7","10 (5,900 XP)"
"Eyedrake","FTD","16 (natural armor)","119 (14d10 + 42)","16","10","16","14","14","16","8 (3,900 XP)"
"Faerie Dragon (Blue)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","2 (450 XP)"
"Faerie Dragon (Green)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","2 (450 XP)"
"Faerie Dragon (Indigo)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","2 (450 XP)"
"Faerie Dragon (Orange)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","1 (200 XP)"
"Faerie Dragon (Red)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","1 (200 XP)"
"Faerie Dragon (Violet)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","2 (450 XP)"
"Faerie Dragon (Yellow)","MM","15","14 (4d4 + 4)","3","20","13","14","12","16","1 (200 XP)"
"Falcon","WDH","13","1 (1d4 - 1)","5","16","8","2","14","6","0 (10 XP)"
"Fastieth","ERLW","14","9 (2d8)","12","18","10","4","11","4","1/4 (50 XP)"
"Fathomer","PotA","10 (13 with mage armor)","52 (8d8 + 16)","14","11","14","11","11","15","2 (450 XP)"
"Feathergale Knight","PotA","16 (scale mail)","33 (6d8 + 6)","14","14","12","11","10","14","1 (200 XP)"
"Felbarren Dwarf","SKT","16 (chain shirt, shield)","11 (2d8 + 2)","13","12","12","10","11","10","1/8 (25 XP)"
"Felidar","GGR","17 (natural armor)","93 (11d10 + 33)","19","16","17","10","17","14","5 (1,800 XP)"
"Female Steeder","MPMM","14 (natural armor)","30 (4d10 + 8)","15","16","14","2","10","3","1 (200 XP)"
"Fensir Devourer","BGG","17 (natural armor)","138 (12d12 + 60)","20","10","21","10","14","11","8 (3,900 XP)"
"Fensir Skirmisher","BGG","15 (chain shirt)","94 (9d10 + 45)","18","15","20","14","11","12","6 (2,300 XP)"
"Feyr","BAM","16 (natural armor)","88 (16d10)","16","16","11","14","14","11","5 (1,800 XP)"
"Fiendish Flesh Golem","BGDIA","12 (natural armor)","210 (20d10 + 100)","20","9","20","7","10","5","8 (3,900 XP)"
"Fiendish Giant Spider","OotA","13","11 (2d8 + 2)","12","16","13","3","12","4","1/2 (100 XP)"
"Firbolg Primeval Warden","BGG","16 (hide armor, shield)","65 (10d8 + 20)","16","14","14","12","16","11","4 (1,100 XP)"
"Firbolg Wanderer","BGG","16 (breastplate)","90 (12d8 + 36)","16","14","16","14","17","16","5 (1,800 XP)"
"Fire Elemental","MM","13","102 (12d10 + 36)","10","17","16","6","10","7","5 (1,800 XP)"
"Fire Elemental Myrmidon","MPMM","18 (plate)","123 (19d8 + 38)","13","18","15","9","10","10","7 (2,900 XP)"
"Fire Giant","MM","18 (plate armor)","162 (13d12 + 78)","25","9","23","10","14","13","9 (5,000 XP)"
"Fire Giant Dreadnought","MPMM","21 (plate, Dual Shields)","187 (15d12 + 90)","27","9","23","8","10","11","14 (11,500 XP)"
"Fire Giant Forgecaller","BGG","18 (plate)","312 (25d12 + 150)","25","11","23","16","21","18","18 (20,000 XP)"
"Fire Giant Royal Headsman","TftYP","18 (plate armor)","162 (13d12 + 78)","25","9","23","10","14","13","9 (5,000 XP)"
"Fire Giant Servant","TftYP","13 (natural armor)","105 (10d12 + 40)","21","8","19","5","9","6","5 (1,800 XP)"
"Fire Giant of Evil Fire","BGG","18 (plate)","150 (12d12 + 72)","25","9","23","10","19","14","10 (5,900 XP)"
"Fire Hellion","BGG","18 (plate)","175 (14d12 + 84)","25","10","23","16","14","21","11 (7,200 XP)"
"Fire Snake","MM","14 (natural armor)","22 (5d8)","12","14","11","7","10","8","1 (200 XP)"
"Firefist","GGR","18 (plate armor)","117 (18d8 + 36)","16","10","14","11","17","13","7 (2,900 XP)"
"Firegaunt","BGG","15 (damaged plate)","175 (14d12 + 84)","25","7","23","10","14","13","11 (7,200 XP)"
"Firemane Angel","GGR","18 (plate armor)","135 (18d8 + 54)","22","15","17","12","14","23","12 (8,400 XP)"
"Firenewt Warlock of Imix","MPMM","10","33 (6d8 + 6)","13","11","12","9","11","14","1 (200 XP)"
"Firenewt Warrior","MPMM","13 (shield)","27 (5d8 + 5)","10","13","12","7","11","8","1/2 (100 XP)"
"First-Year Student","SCC","11","33 (6d8 + 6)","8","12","13","12","10","11","1/2 (100 XP)"
"Fish","GoS","13","1 (1d4 - 1)","2","16","9","1","7","2","0 (10 XP)"
"Fist of Bane","BGDIA","18 (chain mail, shield)","22 (4d8 + 4)","16","11","13","10","12","11","1/2 (100 XP)"
"Five-Armed Troll","WDMM","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","8 (3,900 XP)"
"Flail Snail","MPMM","16 (natural armor)","52 (5d10 + 25)","17","5","20","3","10","5","3 (700 XP)"
"Flameskull","MM","13","40 (9d4 + 18)","1","17","14","16","10","11","4 (1,100 XP)"
"Flamewrath","PotA","12 (15 with mage armor)","105 (14d8 + 42)","10","14","16","11","10","16","6 (2,300 XP)"
"Fleecemane Lion","MOT","15 (natural armor)","45 (6d10 + 12)","19","16","14","6","14","10","3 (700 XP)"
"Flesh Colossus","BGG","14 (natural armor)","280 (16d20 + 112)","24","9","24","6","10","5","20 (25,000 XP)"
"Flesh Golem","MM","9","93 (11d8 + 44)","19","9","18","6","10","5","5 (1,800 XP)"
"Flind","MPMM","16 (breastplate)","127 (15d8 + 60)","20","14","19","11","13","12","9 (5,000 XP)"
"Flitterstep Eidolon","MOT","14","44 (8d8 + 8)","8","18","13","11","12","10","3 (700 XP)"
"Flumph","MM","12","7 (2d6)","6","15","10","14","14","11","1/8 (25 XP)"
"Flux Blastseeker","GGR","12 (15 with mage armor)","55 (10d8 + 10)","10","15","12","20","9","14","5 (1,800 XP)"
"Fluxcharger","GGR","16 (natural armor)","60 (8d10 + 16)","15","18","15","6","10","7","7 (2,900 XP)"
"Flying Dagger","BGDIA","17 (natural armor)","7 (3d4)","12","15","11","1","5","1","1/8 (25 XP)"
"Flying Horror","GGR","16 (natural armor)","49 (9d8 + 9)","9","20","12","2","15","16","3 (700 XP)"
"Flying Monkey","ToA","12","3 (1d6)","8","14","11","5","12","6","0 (10 XP)"
"Flying Rocking Horse","WBtW","15 (natural armor)","22 (4d8 + 4)","10","10","13","1","3","1","1/8 (25 XP)"
"Flying Shield","TftYP","17 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Flying Snake","MM","14","5 (2d4)","4","18","11","2","12","5","1/8 (25 XP)"
"Flying Staff","WDH","17 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Flying Sword","MM","17 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Flying Trident","WDMM","17 (natural armor)","17 (5d6)","12","15","11","1","5","1","1/4 (50 XP)"
"Fomorian","MM","14 (natural armor)","149 (13d12 + 65)","23","10","20","9","14","6","8 (3,900 XP)"
"Fomorian Deep Crawler","BGG","14 (natural armor)","184 (16d12 + 80)","23","15","20","9","17","6","10 (5,900 XP)"
"Fomorian Noble","BGG","14 (17 with mage armor)","253 (22d12 + 110)","23","18","20","19","14","16","15 (13,000 XP)"
"Fomorian Warlock of the Dark","BGG","15 (natural armor)","207 (18d12 + 90)","23","13","20","9","14","18","12 (8,400 XP)"
"Four-Armed Gargoyle","TftYP","15 (natural armor)","63 (7d8 + 21)","15","11","16","6","11","7","2 (450 XP)"
"Four-Armed Statue","OotA","17 (natural armor)","178 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Four-Armed Troll","HotDQ","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","6 (2,300 XP)"
"Fox","IDRotF","13","2 (1d4)","2","16","11","3","12","6","0 (10 XP)"
"Fractal Mascot","SCC","12","27 (6d6 + 6)","12","14","13","7","10","5","1/4 (50 XP)"
"Fraz-Urb'luu","MPMM","18 (natural armor)","337 (27d10 + 189)","29","12","25","26","24","26","23 (50,000 XP) or 24 (62,000 XP) when encountered in lair"
"Frog","MM","11","1 (1d4 - 1)","1","13","8","1","8","3","0 (0 XP)"
"Froghemoth","MPMM","14 (natural armor)","161 (14d12 + 70)","23","13","20","2","12","5","10 (5,900 XP)"
"Frontline Medic","GGR","20 (plate armor, shield)","19 (3d8 + 6)","15","10","14","10","13","12","1/4 (50 XP)"
"Frost Druid","IDRotF","13 (hide armor)","67 (9d8 + 27)","12","13","16","10","16","9","5 (1,800 XP)"
"Frost Giant","MM","15 (patchwork armor)","138 (12d12 + 60)","23","9","21","9","10","12","8 (3,900 XP)"
"Frost Giant Everlasting One","MPMM","15 (patchwork armor)","189 (14d12 + 98)","25","9","24","9","10","12","12 (8,400 XP)"
"Frost Giant Ice Shaper","BGG","16 (chain mail)","310 (27d12 + 135)","23","10","21","11","19","16","17 (18,000 XP)"
"Frost Giant Servant","TftYP","13 (natural armor)","105 (10d12 + 40)","21","8","19","5","9","6","5 (1,800 XP)"
"Frost Giant Skeleton","IDRotF","14 (armor scraps)","102 (12d12 + 24)","23","9","15","6","8","5","6 (2,300 XP)"
"Frost Giant of Evil Water","BGG","16 (scale mail)","172 (15d12 + 75)","23","16","21","9","14","12","11 (7,200 XP)"
"Frost Salamander","MPMM","17 (natural armor)","168 (16d12 + 64)","20","12","18","7","11","7","9 (5,000 XP)"
"Frostmourn","BGG","13 (natural armor)","195 (17d12 + 85)","23","9","21","9","11","18","10 (5,900 XP)"
"Fume Drake","DoSI","12","22 (5d6 + 5)","6","14","12","6","10","11","1/4 (50 XP)"
"Fungal Servant","CM","17 (natural armor)","97 (13d8 + 39)","18","10","17","11","18","16","15 (13,000 XP)"
"Fury of Kostchtchie","BGG","16 (natural armor)","216 (16d12 + 112)","26","10","25","10","12","11","14 (11,500 XP)"
"Gaj","BAM","16 (natural armor)","75 (10d10 + 20)","16","10","15","12","15","7","4 (1,100 XP)"
"Galazeth Prismari","SCC","21 (natural armor)","402 (23d20 + 161)","26","14","25","18","20","26","23 (50,000 XP)"
"Galeb Duhr","MM","16 (natural armor)","85 (9d8 + 45)","20","14","20","11","12","11","6 (2,300 XP)"
"Gallows Speaker","VRGR","12","85 (19d8)","8","14","10","10","12","18","6 (2,300 XP)"
"Galvan Magen","IDRotF","14","68 (8d8 + 32)","10","18","18","12","10","7","3 (700 XP)"
"Galvanic Blastseeker","GGR","13","52 (8d8 + 16)","10","17","14","19","10","13","5 (1,800 XP)"
"Galvanice Weird","GGR","12 (natural armor)","22 (3d8 + 9)","14","10","17","3","10","5","1 (200 XP)"
"Gargantua","BGG","17 (natural armor)","388 (21d20 + 168)","27","10","26","9","16","18","21 (33,000 XP)"
"Gargantuan Rug of Smothering","TftYP","12","63 (6d20)","17","14","10","1","3","1","2 (450 XP)"
"Gargoyle","MM","15 (natural armor)","52 (7d8 + 21)","15","11","16","6","11","7","2 (450 XP)"
"Gas Spore","MM","5","1 (1d10 - 4)","5","1","3","1","1","1","1/2 (100 XP)"
"Gauth","MPMM","15 (natural armor)","52 (7d8 + 21)","10","14","16","15","15","13","6 (2,300 XP)"
"Gazer","MPMM","13","13 (3d4 + 6)","3","17","14","3","10","7","1/2 (100 XP)"
"Gelatinous Cube","MM","6","84 (8d10 + 40)","14","3","20","1","6","1","2 (450 XP)"
"Gem Stalker","FTD","17 (natural armor)","67 (9d10 + 18)","17","15","14","15","10","6","5 (1,800 XP)"
"Geryon","MPMM","19 (natural armor)","300 (24d12 + 144)","29","17","22","19","16","23","22 (41,000 XP) or 23 (50,000 XP) when encountered in lair"
"Ghast","MM","13","36 (8d8)","16","17","10","11","10","8","2 (450 XP)"
"Ghost","MM","11","45 (10d8)","7","13","10","10","12","17","4 (1,100 XP)"
"Ghost Dragon","FTD","10","324 (24d12 + 168)","20","10","25","16","15","19","17 (18,000 XP)"
"Ghostblade Eidolon","MOT","12","55 (10d8 + 10)","16","15","12","13","12","14","5 (1,800 XP)"
"Ghoul","MM","12","22 (5d8)","13","15","10","7","10","6","1 (200 XP)"
"Giant Ape","MM","12","157 (15d12 + 60)","23","14","18","7","12","7","7 (2,900 XP)"
"Giant Badger","MM","10","13 (2d8 + 4)","13","10","15","2","12","5","1/4 (50 XP)"
"Giant Bat","MM","13","22 (4d10)","15","16","11","2","12","6","1/4 (50 XP)"
"Giant Boar","MM","12 (natural armor)","42 (5d10 + 15)","17","10","16","2","7","5","2 (450 XP)"
"Giant Canary","FTD","12","26 (4d10 + 4)","10","14","12","2","10","6","1/2 (100 XP)"
"Giant Centipede","MM","13 (natural armor)","4 (1d6 + 1)","5","14","12","1","7","3","1/4 (50 XP)"
"Giant Child","BGG","10","4 (1d8)","14","10","10","10","10","10","0 (10 XP)"
"Giant Constrictor Snake","MM","12","60 (8d12 + 8)","19","14","12","1","10","3","2 (450 XP)"
"Giant Coral Snake","GoS","13","90 (12d10 + 24)","12","16","14","2","10","3","4 (1,100 XP)"
"Giant Crab","MM","15 (natural armor)","13 (3d8)","13","15","11","1","9","3","1/8 (25 XP)"
"Giant Crayfish","TftYP","15 (natural armor)","45 (7d10 + 7)","15","13","13","1","9","3","2 (450 XP)"
"Giant Crocodile","MM","14 (natural armor)","85 (9d12 + 27)","21","9","17","2","10","7","5 (1,800 XP)"
"Giant Dragonfly","WBtW","16 (natural armor)","22 (4d10)","15","18","11","3","10","3","1/2 (100 XP)"
"Giant Eagle","MM","13","26 (4d10 + 4)","16","17","13","8","14","10","1 (200 XP)"
"Giant Elk","MM","14 (natural armor)","42 (5d12 + 10)","19","16","14","7","14","10","2 (450 XP)"
